id,topic_id,english,word_class,vietnamese,phonetic,example_en,example_vi,image_name,audio_name,sort_order
1,2,family,noun,gia đình,/ˈfæməli/,I love my family.,Tôi yêu gia đình của mình.,,,1
2,2,father,noun,"bố, cha",/ˈfɑːðə(r)/,My father is a doctor.,Bố tôi là bác sĩ.,,,2
3,2,mother,noun,mẹ,/ˈmʌðə(r)/,My mother cooks dinner every day.,Mẹ tôi nấu bữa tối mỗi ngày.,,,3
4,2,parents,noun,"bố mẹ, cha mẹ",/ˈpeərənts/,My parents are very kind.,Bố mẹ tôi rất tốt bụng.,,,4
5,2,son,noun,con trai,/sʌn/,They have one son.,Họ có một người con trai.,,,5
6,2,daughter,noun,con gái,/ˈdɔːtə(r)/,Their daughter is ten years old.,Con gái của họ mười tuổi.,,,6
7,2,brother,noun,anh/em trai,/ˈbrʌðə(r)/,My brother plays football after school.,Anh trai tôi chơi bóng đá sau giờ học.,,,7
8,2,sister,noun,chị/em gái,/ˈsɪstə(r)/,My sister is a student.,Chị gái tôi là học sinh.,,,8
9,2,husband,noun,chồng,/ˈhʌzbənd/,Her husband works in a bank.,Chồng cô ấy làm việc ở ngân hàng.,,,9
10,2,wife,noun,vợ,/waɪf/,His wife is a teacher.,Vợ anh ấy là giáo viên.,,,10
11,2,grandfather,noun,ông,/ˈɡrænfɑːðə(r)/,My grandfather is seventy years old.,Ông tôi bảy mươi tuổi.,,,11
12,2,grandmother,noun,bà,/ˈɡrænmʌðə(r)/,My grandmother tells me stories.,Bà tôi kể chuyện cho tôi.,,,12
13,2,grandparents,noun,ông bà,/ˈɡrænpeərənts/,I visit my grandparents every weekend.,Tôi thăm ông bà mỗi cuối tuần.,,,13
14,2,uncle,noun,"chú, bác, cậu",/ˈʌŋkl/,My uncle lives in Hanoi.,Chú tôi sống ở Hà Nội.,,,14
15,2,aunt,noun,"cô, dì, bác gái",/ɑːnt/,My aunt has a small shop.,Dì tôi có một cửa hàng nhỏ.,,,15
16,2,cousin,noun,anh/chị/em họ,/ˈkʌzn/,I often play with my cousin.,Tôi thường chơi với người anh họ của mình.,,,16
17,2,nephew,noun,cháu trai,/ˈnefjuː/,My nephew is five years old.,Cháu trai tôi năm tuổi.,,,17
18,2,niece,noun,cháu gái,/niːs/,My niece likes drawing pictures.,Cháu gái tôi thích vẽ tranh.,,,18
19,2,baby,noun,em bé,/ˈbeɪbi/,The baby is sleeping.,Em bé đang ngủ.,,,19
20,2,child,noun,"đứa trẻ, con",/tʃaɪld/,The child is playing in the garden.,Đứa trẻ đang chơi trong vườn.,,,20
21,2,children,noun,"trẻ em, các con",/ˈtʃɪldrən/,The children are playing together.,Bọn trẻ đang chơi cùng nhau.,,,21
22,2,grandson,noun,cháu trai,/ˈɡrænsʌn/,Their grandson goes to primary school.,Cháu trai của họ học tiểu học.,,,22
23,2,granddaughter,noun,cháu gái,/ˈɡrændɔːtə(r)/,Her granddaughter loves music.,Cháu gái của bà ấy thích âm nhạc.,,,23
24,2,relative,noun,"họ hàng, người thân",/ˈrelətɪv/,Many relatives came to the party.,Nhiều người thân đã đến bữa tiệc.,,,24
25,2,twins,noun,cặp song sinh,/twɪnz/,The twins look very similar.,Cặp song sinh trông rất giống nhau.,,,25
26,3,doctor,noun,bác sĩ,/ˈdɒktə(r)/,The doctor works at a hospital.,Bác sĩ làm việc tại bệnh viện.,026_doctor,,1
27,3,nurse,noun,"y tá, điều dưỡng",/nɜːs/,The nurse takes care of the patient.,Y tá chăm sóc bệnh nhân.,,,2
28,3,teacher,noun,giáo viên,/ˈtiːtʃə(r)/,My teacher teaches English.,Giáo viên của tôi dạy tiếng Anh.,028_teacher,,3
29,3,engineer,noun,kỹ sư,/ˌendʒɪˈnɪə(r)/,My brother wants to be an engineer.,Anh trai tôi muốn trở thành kỹ sư.,,,4
30,3,farmer,noun,nông dân,/ˈfɑːmə(r)/,The farmer works on the farm.,Người nông dân làm việc ở trang trại.,,,5
31,3,driver,noun,tài xế,/ˈdraɪvə(r)/,The driver drives a bus every day.,Tài xế lái xe buýt mỗi ngày.,,,6
32,3,police officer,noun,cảnh sát,/pəˈliːs ˌɒfɪsə(r)/,The police officer helps people.,Cảnh sát giúp đỡ mọi người.,,,7
33,3,firefighter,noun,lính cứu hỏa,/ˈfaɪəfaɪtə(r)/,The firefighter puts out fires.,Lính cứu hỏa dập tắt các đám cháy.,,,8
34,3,chef,noun,"bếp trưởng, đầu bếp chuyên nghiệp",/ʃef/,The chef cooks delicious food.,Đầu bếp nấu những món ăn ngon.,,,9
35,3,cook,noun,đầu bếp,/kʊk/,The cook prepares lunch for us.,Đầu bếp chuẩn bị bữa trưa cho chúng tôi.,,,10
36,3,waiter,noun,nhân viên phục vụ nam,/ˈweɪtə(r)/,The waiter brings our food.,Nhân viên phục vụ nam mang đồ ăn cho chúng tôi.,,,11
37,3,waitress,noun,nhân viên phục vụ nữ,/ˈweɪtrəs/,The waitress takes our order.,Nhân viên phục vụ nữ nhận món chúng tôi gọi.,,,12
38,3,dentist,noun,nha sĩ,/ˈdentɪst/,I visit the dentist twice a year.,Tôi đến nha sĩ hai lần một năm.,,,13
39,3,pilot,noun,phi công,/ˈpaɪlət/,The pilot flies an airplane.,Phi công lái máy bay.,,,14
40,3,soldier,noun,binh sĩ,/ˈsəʊldʒə(r)/,The soldier wears a uniform.,Người lính mặc quân phục.,,,15
41,3,lawyer,noun,luật sư,/ˈlɔɪə(r)/,The lawyer works in an office.,Luật sư làm việc trong văn phòng.,,,16
42,3,artist,noun,"họa sĩ, nghệ sĩ",/ˈɑːtɪst/,The artist paints beautiful pictures.,Họa sĩ vẽ những bức tranh đẹp.,,,17
43,3,singer,noun,ca sĩ,/ˈsɪŋə(r)/,The singer has a beautiful voice.,Ca sĩ có một giọng hát hay.,,,18
44,3,actor,noun,diễn viên nam,/ˈæktə(r)/,The actor is famous around the world.,Nam diễn viên nổi tiếng trên toàn thế giới.,,,19
45,3,actress,noun,diễn viên nữ,/ˈæktrəs/,The actress appears in many films.,Nữ diễn viên xuất hiện trong nhiều bộ phim.,,,20
46,3,writer,noun,"nhà văn, người viết",/ˈraɪtə(r)/,The writer writes children's books.,Nhà văn viết sách cho trẻ em.,,,21
47,3,mechanic,noun,"thợ cơ khí, thợ sửa máy",/məˈkænɪk/,The mechanic repairs my car.,Thợ sửa máy sửa chiếc ô tô của tôi.,,,22
48,3,electrician,noun,thợ điện,/ɪˌlekˈtrɪʃn/,The electrician fixes the lights.,Thợ điện sửa hệ thống đèn.,,,23
49,3,shop assistant,noun,nhân viên bán hàng,/ˈʃɒp əsɪstənt/,The shop assistant helps the customers.,Nhân viên bán hàng giúp đỡ khách hàng.,,,24
50,3,accountant,noun,kế toán,/əˈkaʊntənt/,The accountant works with numbers.,Kế toán làm việc với các con số.,,,25
51,10,apple,noun,quả táo,/ˈæpl/,I eat an apple every morning.,Tôi ăn một quả táo mỗi sáng.,051_apple,,1
52,10,banana,noun,quả chuối,/bəˈnɑːnə/,She eats a banana after breakfast.,Cô ấy ăn một quả chuối sau bữa sáng.,052_banana,,2
53,10,orange,noun,quả cam,/ˈɒrɪndʒ/,This orange is very sweet.,Quả cam này rất ngọt.,,,3
54,10,mango,noun,quả xoài,/ˈmæŋɡəʊ/,Mango is my favorite fruit.,Xoài là loại trái cây yêu thích của tôi.,,,4
55,10,grape,noun,quả nho,/ɡreɪp/,These grapes are fresh.,Những quả nho này rất tươi.,,,5
56,10,watermelon,noun,dưa hấu,/ˈwɔːtəmelən/,We eat watermelon in summer.,Chúng tôi ăn dưa hấu vào mùa hè.,,,6
57,10,pineapple,noun,"quả dứa, quả thơm",/ˈpaɪnæpl/,She cuts the pineapple into pieces.,Cô ấy cắt quả dứa thành từng miếng.,,,7
58,10,strawberry,noun,dâu tây,/ˈstrɔːbəri/,The strawberry is red and sweet.,Quả dâu tây có màu đỏ và vị ngọt.,,,8
59,10,blueberry,noun,việt quất,/ˈbluːbəri/,I put blueberries in my yogurt.,Tôi cho việt quất vào sữa chua.,,,9
60,10,raspberry,noun,quả mâm xôi,/ˈrɑːzbəri/,Raspberries are small and red.,Quả mâm xôi nhỏ và có màu đỏ.,,,10
61,10,cherry,noun,quả anh đào,/ˈtʃeri/,There is a cherry on the cake.,Có một quả anh đào trên chiếc bánh.,,,11
62,10,peach,noun,quả đào,/piːtʃ/,This peach is soft and sweet.,Quả đào này mềm và ngọt.,,,12
63,10,pear,noun,quả lê,/peə(r)/,I bought a green pear.,Tôi đã mua một quả lê xanh.,,,13
64,10,lemon,noun,quả chanh vàng,/ˈlemən/,Lemon juice tastes sour.,Nước chanh vàng có vị chua.,,,14
65,10,lime,noun,quả chanh xanh,/laɪm/,She adds lime to the drink.,Cô ấy cho chanh xanh vào đồ uống.,,,15
66,10,coconut,noun,quả dừa,/ˈkəʊkənʌt/,Coconut water is refreshing.,Nước dừa rất giải khát.,,,16
67,10,papaya,noun,quả đu đủ,/pəˈpaɪə/,The papaya is ripe.,Quả đu đủ đã chín.,,,17
68,10,guava,noun,quả ổi,/ˈɡwɑːvə/,This guava is very crunchy.,Quả ổi này rất giòn.,,,18
69,10,kiwi,noun,quả kiwi,/ˈkiːwiː/,The kiwi is green inside.,Quả kiwi có màu xanh bên trong.,,,19
70,10,plum,noun,quả mận,/plʌm/,She ate two plums.,Cô ấy đã ăn hai quả mận.,,,20
71,10,melon,noun,dưa,/ˈmelən/,The melon smells sweet.,Quả dưa có mùi thơm ngọt.,,,21
72,10,avocado,noun,quả bơ,/ˌævəˈkɑːdəʊ/,I eat avocado with bread.,Tôi ăn bơ cùng với bánh mì.,,,22
73,10,pomegranate,noun,quả lựu,/ˈpɒmɪɡrænɪt/,The pomegranate has many seeds.,Quả lựu có nhiều hạt.,,,23
74,10,grapefruit,noun,quả bưởi chùm,/ˈɡreɪpfruːt/,Grapefruit has a slightly bitter taste.,Bưởi chùm có vị hơi đắng.,,,24
75,10,dragon fruit,noun,quả thanh long,/ˈdræɡən fruːt/,Dragon fruit is popular in Vietnam.,Thanh long rất phổ biến ở Việt Nam.,,,25
76,12,dog,noun,con chó,/dɒɡ/,My dog likes to run in the park.,Con chó của tôi thích chạy trong công viên.,076_dog,,1
77,12,cat,noun,con mèo,/kæt/,The cat is sleeping on the sofa.,Con mèo đang ngủ trên ghế sofa.,077_cat,,2
78,12,bird,noun,con chim,/bɜːd/,The bird is singing in the tree.,Con chim đang hót trên cây.,078_bird,,3
79,12,fish,noun,con cá,/fɪʃ/,The fish swims in the water.,Con cá bơi trong nước.,079_fish,,4
80,12,horse,noun,con ngựa,/hɔːs/,The horse runs very fast.,Con ngựa chạy rất nhanh.,080_horse,,5
81,12,cow,noun,con bò,/kaʊ/,The cow eats grass.,Con bò ăn cỏ.,081_cow,,6
82,12,pig,noun,"con lợn, con heo",/pɪɡ/,The pig lives on the farm.,Con lợn sống ở trang trại.,082_pig,,7
83,12,chicken,noun,con gà,/ˈtʃɪkɪn/,The chicken is looking for food.,Con gà đang tìm thức ăn.,083_chicken,,8
84,12,duck,noun,con vịt,/dʌk/,The duck swims in the pond.,Con vịt bơi trong ao.,084_duck,,9
85,12,sheep,noun,con cừu,/ʃiːp/,The sheep has white wool.,Con cừu có bộ lông màu trắng.,085_sheep,,10
86,12,goat,noun,con dê,/ɡəʊt/,The goat is eating leaves.,Con dê đang ăn lá cây.,086_goat,,11
87,12,rabbit,noun,con thỏ,/ˈræbɪt/,The rabbit has long ears.,Con thỏ có đôi tai dài.,087_rabbit,,12
88,12,mouse,noun,con chuột,/maʊs/,The mouse is under the table.,Con chuột ở dưới bàn.,088_mouse,,13
89,12,lion,noun,sư tử,/ˈlaɪən/,The lion is a strong animal.,Sư tử là một loài động vật mạnh mẽ.,089_lion,,14
90,12,tiger,noun,hổ,/ˈtaɪɡə(r)/,The tiger has black stripes.,Con hổ có những sọc màu đen.,090_tiger,,15
91,12,elephant,noun,voi,/ˈelɪfənt/,The elephant has a long trunk.,Con voi có một chiếc vòi dài.,091_elephant,,16
92,12,monkey,noun,khỉ,/ˈmʌŋki/,The monkey is climbing a tree.,Con khỉ đang trèo cây.,092_monkey,,17
